Lluvias,Lluvias Atipicas,Morelos,Temoac,72030,15/06/2001,08/06/2001,12/06/2001
Lluvias,Lluvias Atipicas,Morelos,Zacualpan,12030,16/06/2001,09/06/2001,13/06/2001
Lluvias,Lluvias Atipicas,Morelos,Zacatepec,12023,17/06/2001,10/06/2001,14/06/2001
Lluvias,Lluvias Atipicas,Morelos,Yecapixtla,12021,18/06/2001,11/06/2001,15/06/2001
Lluvias,Lluvias Atipicas,Morelos,Yautepec,12018,19/06/2001,12/06/2001,16/06/2001
Lluvias,Lluvias Atipicas,Morelos,Xochitepec,12016,2001-06-20,2001-06-13,2001-06-17
Lluvias,Lluvias Atipicas,Morelos,Totolapan,12014,2001-06-21,2001-06-14,2001-06-18
Lluvias,Lluvias Atipicas,Morelos,Tlayacapan,12013,2001-06-22,2001-06-15,2001-06-19
Lluvias,Lluvias Atipicas,Morelos,Tlaquiltenango,12001,2001-06-23,2001-06-16,2001-06-20
Lluvias,Lluvias Atipicas,Morelos,Tlaltizapán,68029,2001-06-24,2001-06-17,2001-06-21
Lluvias,Lluvias Atipicas,Morelos,Tlalnepantla,68027,2001-06-25,2001-06-18,2001-06-22
Lluvias,Lluvias Atipicas,Morelos,Tetela del Volcán,67077,2001-06-26,2001-06-19,2001-06-23
Lluvias,Lluvias Atipicas,Morelos,Tetecala,10039,2001-06-27,2001-06-20,2001-06-24
Lluvias,Lluvias Atipicas,Morelos,Tepoztlán,10035,2001-06-28,2001-06-21,2001-06-25
Lluvias,Lluvias Atipicas,Morelos,Tepalcingo,10032,2001-06-29,2001-06-22,2001-06-26
Lluvias,Lluvias Atipicas,Morelos,Temixco,10026,2001-06-30,2001-06-23,2001-06-27
Lluvias,Lluvias Atipicas,Morelos,Puente de Ixtla,10025,2001-07-01,2001-06-24,2001-06-28
Lluvias,Lluvias Atipicas,Morelos,Ocuituco,10023,2001-07-02,2001-06-25,2001-06-29
Lluvias,Lluvias Atipicas,Morelos,Miacatlán,10022,2001-07-03,2001-06-26,2001-06-30
Lluvias,Lluvias Atipicas,Morelos,Mazatepec,10020,2001-07-04,2001-06-27,2001-07-01
Lluvias,Lluvias Atipicas,Morelos,Jonacatepec,10019,2001-07-05,2001-06-28,2001-07-02